date,value,series_id
1967-05-01,3.8,UNRATE
1967-06-01,3.9,UNRATE
1967-07-01,3.8,UNRATE
1967-08-01,3.8,UNRATE
1967-09-01,3.8,UNRATE
1967-10-01,4.0,UNRATE
1967-11-01,3.9,UNRATE
1967-12-01,3.8,UNRATE
1968-01-01,3.7,UNRATE
1968-02-01,3.8,UNRATE
1968-03-01,3.7,UNRATE
1968-04-01,3.5,UNRATE
1968-05-01,3.5,UNRATE
1968-06-01,3.7,UNRATE
1968-07-01,3.7,UNRATE
1968-08-01,3.5,UNRATE
1968-09-01,3.4,UNRATE
1968-10-01,3.4,UNRATE
1968-11-01,3.4,UNRATE
1968-12-01,3.4,UNRATE
1969-01-01,3.4,UNRATE
1969-02-01,3.4,UNRATE
1969-03-01,3.4,UNRATE
1969-04-01,3.4,UNRATE
1969-05-01,3.4,UNRATE
1969-06-01,3.5,UNRATE
1969-07-01,3.5,UNRATE
1969-08-01,3.5,UNRATE
1969-09-01,3.7,UNRATE
1969-10-01,3.7,UNRATE
1969-11-01,3.5,UNRATE
1969-12-01,3.5,UNRATE
1970-01-01,3.9,UNRATE
1970-02-01,4.2,UNRATE
1970-03-01,4.4,UNRATE
1970-04-01,4.6,UNRATE
1970-05-01,4.8,UNRATE
1970-06-01,4.9,UNRATE
1970-07-01,5.0,UNRATE
1970-08-01,5.1,UNRATE
1970-09-01,5.4,UNRATE
1970-10-01,5.5,UNRATE
1970-11-01,5.9,UNRATE
1970-12-01,6.1,UNRATE
1971-01-01,5.9,UNRATE
1971-02-01,5.9,UNRATE
1971-03-01,6.0,UNRATE
1971-04-01,5.9,UNRATE
1971-05-01,5.9,UNRATE
1971-06-01,5.9,UNRATE
1971-07-01,6.0,UNRATE
1971-08-01,6.1,UNRATE
1971-09-01,6.0,UNRATE
1971-10-01,5.8,UNRATE
1971-11-01,6.0,UNRATE
1971-12-01,6.0,UNRATE
1972-01-01,5.8,UNRATE
1972-02-01,5.7,UNRATE
1972-03-01,5.8,UNRATE
1972-04-01,5.7,UNRATE
1972-05-01,5.7,UNRATE
1972-06-01,5.7,UNRATE
1972-07-01,5.6,UNRATE
1972-08-01,5.6,UNRATE
1972-09-01,5.5,UNRATE
1972-10-01,5.6,UNRATE
1972-11-01,5.3,UNRATE
1972-12-01,5.2,UNRATE
1973-01-01,4.9,UNRATE
1973-02-01,5.0,UNRATE
1973-03-01,4.9,UNRATE
1973-04-01,5.0,UNRATE
1973-05-01,4.9,UNRATE
1973-06-01,4.9,UNRATE
1973-07-01,4.8,UNRATE
1973-08-01,4.8,UNRATE
1973-09-01,4.8,UNRATE
1973-10-01,4.6,UNRATE
1973-11-01,4.8,UNRATE
1973-12-01,4.9,UNRATE
1974-01-01,5.1,UNRATE
1974-02-01,5.2,UNRATE
1974-03-01,5.1,UNRATE
1974-04-01,5.1,UNRATE
1974-05-01,5.1,UNRATE
1974-06-01,5.4,UNRATE
1974-07-01,5.5,UNRATE
1974-08-01,5.5,UNRATE
1974-09-01,5.9,UNRATE
1974-10-01,6.0,UNRATE
1974-11-01,6.6,UNRATE
1974-12-01,7.2,UNRATE
1975-01-01,8.1,UNRATE
1975-02-01,8.1,UNRATE
1975-03-01,8.6,UNRATE
1975-04-01,8.8,UNRATE
1975-05-01,9.0,UNRATE
1975-06-01,8.8,UNRATE
1975-07-01,8.6,UNRATE
1975-08-01,8.4,UNRATE
1975-09-01,8.4,UNRATE
1975-10-01,8.4,UNRATE
1975-11-01,8.3,UNRATE
1975-12-01,8.2,UNRATE
1976-01-01,7.9,UNRATE
1976-02-01,7.7,UNRATE
1976-03-01,7.6,UNRATE
1976-04-01,7.7,UNRATE
1976-05-01,7.4,UNRATE
1976-06-01,7.6,UNRATE
1976-07-01,7.8,UNRATE
1976-08-01,7.8,UNRATE
1976-09-01,7.6,UNRATE
1976-10-01,7.7,UNRATE
1976-11-01,7.8,UNRATE
1976-12-01,7.8,UNRATE
1977-01-01,7.5,UNRATE
1977-02-01,7.6,UNRATE
1977-03-01,7.4,UNRATE
1977-04-01,7.2,UNRATE
1977-05-01,7.0,UNRATE
1977-06-01,7.2,UNRATE
1977-07-01,6.9,UNRATE
1977-08-01,7.0,UNRATE
1977-09-01,6.8,UNRATE
1977-10-01,6.8,UNRATE
1977-11-01,6.8,UNRATE
1977-12-01,6.4,UNRATE
1978-01-01,6.4,UNRATE
1978-02-01,6.3,UNRATE
1978-03-01,6.3,UNRATE
1978-04-01,6.1,UNRATE
1978-05-01,6.0,UNRATE
1978-06-01,5.9,UNRATE
1978-07-01,6.2,UNRATE
1978-08-01,5.9,UNRATE
1978-09-01,6.0,UNRATE
1978-10-01,5.8,UNRATE
1978-11-01,5.9,UNRATE
1978-12-01,6.0,UNRATE
1979-01-01,5.9,UNRATE
1979-02-01,5.9,UNRATE
1979-03-01,5.8,UNRATE
1979-04-01,5.8,UNRATE
1979-05-01,5.6,UNRATE
1979-06-01,5.7,UNRATE
1979-07-01,5.7,UNRATE
1979-08-01,6.0,UNRATE
1979-09-01,5.9,UNRATE
1979-10-01,6.0,UNRATE
1979-11-01,5.9,UNRATE
1979-12-01,6.0,UNRATE
1980-01-01,6.3,UNRATE
1980-02-01,6.3,UNRATE
1980-03-01,6.3,UNRATE
1980-04-01,6.9,UNRATE
1980-05-01,7.5,UNRATE
1980-06-01,7.6,UNRATE
1980-07-01,7.8,UNRATE
1980-08-01,7.7,UNRATE
1980-09-01,7.5,UNRATE
1980-10-01,7.5,UNRATE
1980-11-01,7.5,UNRATE
1980-12-01,7.2,UNRATE
1981-01-01,7.5,UNRATE
1981-02-01,7.4,UNRATE
1981-03-01,7.4,UNRATE
1981-04-01,7.2,UNRATE
1981-05-01,7.5,UNRATE
1981-06-01,7.5,UNRATE
1981-07-01,7.2,UNRATE
1981-08-01,7.4,UNRATE
1981-09-01,7.6,UNRATE
1981-10-01,7.9,UNRATE
1981-11-01,8.3,UNRATE
1981-12-01,8.5,UNRATE
1982-01-01,8.6,UNRATE
1982-02-01,8.9,UNRATE
1982-03-01,9.0,UNRATE
1982-04-01,9.3,UNRATE
1982-05-01,9.4,UNRATE
1982-06-01,9.6,UNRATE
1982-07-01,9.8,UNRATE
1982-08-01,9.8,UNRATE
1982-09-01,10.1,UNRATE
1982-10-01,10.4,UNRATE
1982-11-01,10.8,UNRATE
1982-12-01,10.8,UNRATE
1983-01-01,10.4,UNRATE
1983-02-01,10.4,UNRATE
1983-03-01,10.3,UNRATE
1983-04-01,10.2,UNRATE
1983-05-01,10.1,UNRATE
1983-06-01,10.1,UNRATE
1983-07-01,9.4,UNRATE
1983-08-01,9.5,UNRATE
1983-09-01,9.2,UNRATE
1983-10-01,8.8,UNRATE
1983-11-01,8.5,UNRATE
1983-12-01,8.3,UNRATE
1984-01-01,8.0,UNRATE
1984-02-01,7.8,UNRATE
1984-03-01,7.8,UNRATE
1984-04-01,7.7,UNRATE
1984-05-01,7.4,UNRATE
1984-06-01,7.2,UNRATE
1984-07-01,7.5,UNRATE
1984-08-01,7.5,UNRATE
1984-09-01,7.3,UNRATE
1984-10-01,7.4,UNRATE
1984-11-01,7.2,UNRATE
1984-12-01,7.3,UNRATE
1985-01-01,7.3,UNRATE
1985-02-01,7.2,UNRATE
1985-03-01,7.2,UNRATE
1985-04-01,7.3,UNRATE
1985-05-01,7.2,UNRATE
1985-06-01,7.4,UNRATE
1985-07-01,7.4,UNRATE
1985-08-01,7.1,UNRATE
1985-09-01,7.1,UNRATE
1985-10-01,7.1,UNRATE
1985-11-01,7.0,UNRATE
1985-12-01,7.0,UNRATE
1986-01-01,6.7,UNRATE
1986-02-01,7.2,UNRATE
1986-03-01,7.2,UNRATE
1986-04-01,7.1,UNRATE
1986-05-01,7.2,UNRATE
1986-06-01,7.2,UNRATE
1986-07-01,7.0,UNRATE
1986-08-01,6.9,UNRATE
1986-09-01,7.0,UNRATE
1986-10-01,7.0,UNRATE
1986-11-01,6.9,UNRATE
1986-12-01,6.6,UNRATE
1987-01-01,6.6,UNRATE
1987-02-01,6.6,UNRATE
1987-03-01,6.6,UNRATE
1987-04-01,6.3,UNRATE
1987-05-01,6.3,UNRATE
1987-06-01,6.2,UNRATE
1987-07-01,6.1,UNRATE
1987-08-01,6.0,UNRATE
1987-09-01,5.9,UNRATE
1987-10-01,6.0,UNRATE
1987-11-01,5.8,UNRATE
1987-12-01,5.7,UNRATE
1988-01-01,5.7,UNRATE
1988-02-01,5.7,UNRATE
1988-03-01,5.7,UNRATE
1988-04-01,5.4,UNRATE
1988-05-01,5.6,UNRATE
1988-06-01,5.4,UNRATE
1988-07-01,5.4,UNRATE
1988-08-01,5.6,UNRATE
1988-09-01,5.4,UNRATE
1988-10-01,5.4,UNRATE
1988-11-01,5.3,UNRATE
1988-12-01,5.3,UNRATE
1989-01-01,5.4,UNRATE
1989-02-01,5.2,UNRATE
1989-03-01,5.0,UNRATE
1989-04-01,5.2,UNRATE
1989-05-01,5.2,UNRATE
1989-06-01,5.3,UNRATE
1989-07-01,5.2,UNRATE
1989-08-01,5.2,UNRATE
1989-09-01,5.3,UNRATE
1989-10-01,5.3,UNRATE
1989-11-01,5.4,UNRATE
1989-12-01,5.4,UNRATE
1990-01-01,5.4,UNRATE
1990-02-01,5.3,UNRATE
1990-03-01,5.2,UNRATE
1990-04-01,5.4,UNRATE
1990-05-01,5.4,UNRATE
1990-06-01,5.2,UNRATE
1990-07-01,5.5,UNRATE
1990-08-01,5.7,UNRATE
1990-09-01,5.9,UNRATE
1990-10-01,5.9,UNRATE
1990-11-01,6.2,UNRATE
1990-12-01,6.3,UNRATE
1991-01-01,6.4,UNRATE
1991-02-01,6.6,UNRATE
1991-03-01,6.8,UNRATE
1991-04-01,6.7,UNRATE
1991-05-01,6.9,UNRATE
1991-06-01,6.9,UNRATE
1991-07-01,6.8,UNRATE
1991-08-01,6.9,UNRATE
1991-09-01,6.9,UNRATE
1991-10-01,7.0,UNRATE
1991-11-01,7.0,UNRATE
1991-12-01,7.3,UNRATE
1992-01-01,7.3,UNRATE
1992-02-01,7.4,UNRATE
1992-03-01,7.4,UNRATE
1992-04-01,7.4,UNRATE
1992-05-01,7.6,UNRATE
1992-06-01,7.8,UNRATE
1992-07-01,7.7,UNRATE
1992-08-01,7.6,UNRATE
1992-09-01,7.6,UNRATE
1992-10-01,7.3,UNRATE
1992-11-01,7.4,UNRATE
1992-12-01,7.4,UNRATE
1993-01-01,7.3,UNRATE
1993-02-01,7.1,UNRATE
1993-03-01,7.0,UNRATE
1993-04-01,7.1,UNRATE
1993-05-01,7.1,UNRATE
1993-06-01,7.0,UNRATE
1993-07-01,6.9,UNRATE
1993-08-01,6.8,UNRATE
1993-09-01,6.7,UNRATE
1993-10-01,6.8,UNRATE
1993-11-01,6.6,UNRATE
1993-12-01,6.5,UNRATE
1994-01-01,6.6,UNRATE
1994-02-01,6.6,UNRATE
1994-03-01,6.5,UNRATE
1994-04-01,6.4,UNRATE
1994-05-01,6.1,UNRATE
1994-06-01,6.1,UNRATE
1994-07-01,6.1,UNRATE
1994-08-01,6.0,UNRATE
1994-09-01,5.9,UNRATE
1994-10-01,5.8,UNRATE
1994-11-01,5.6,UNRATE
1994-12-01,5.5,UNRATE
1995-01-01,5.6,UNRATE
1995-02-01,5.4,UNRATE
1995-03-01,5.4,UNRATE
1995-04-01,5.8,UNRATE
1995-05-01,5.6,UNRATE
1995-06-01,5.6,UNRATE
1995-07-01,5.7,UNRATE
1995-08-01,5.7,UNRATE
1995-09-01,5.6,UNRATE
1995-10-01,5.5,UNRATE
1995-11-01,5.6,UNRATE
1995-12-01,5.6,UNRATE
1996-01-01,5.6,UNRATE
1996-02-01,5.5,UNRATE
1996-03-01,5.5,UNRATE
1996-04-01,5.6,UNRATE
1996-05-01,5.6,UNRATE
1996-06-01,5.3,UNRATE
1996-07-01,5.5,UNRATE
1996-08-01,5.1,UNRATE
1996-09-01,5.2,UNRATE
1996-10-01,5.2,UNRATE
1996-11-01,5.4,UNRATE
1996-12-01,5.4,UNRATE
1997-01-01,5.3,UNRATE
1997-02-01,5.2,UNRATE
1997-03-01,5.2,UNRATE
1997-04-01,5.1,UNRATE
1997-05-01,4.9,UNRATE
1997-06-01,5.0,UNRATE
1997-07-01,4.9,UNRATE
1997-08-01,4.8,UNRATE
1997-09-01,4.9,UNRATE
1997-10-01,4.7,UNRATE
1997-11-01,4.6,UNRATE
1997-12-01,4.7,UNRATE
1998-01-01,4.6,UNRATE
1998-02-01,4.6,UNRATE
1998-03-01,4.7,UNRATE
1998-04-01,4.3,UNRATE
1998-05-01,4.4,UNRATE
1998-06-01,4.5,UNRATE
1998-07-01,4.5,UNRATE
1998-08-01,4.5,UNRATE
1998-09-01,4.6,UNRATE
1998-10-01,4.5,UNRATE
1998-11-01,4.4,UNRATE
1998-12-01,4.4,UNRATE
1999-01-01,4.3,UNRATE
1999-02-01,4.4,UNRATE
1999-03-01,4.2,UNRATE
1999-04-01,4.3,UNRATE
1999-05-01,4.2,UNRATE
1999-06-01,4.3,UNRATE
1999-07-01,4.3,UNRATE
1999-08-01,4.2,UNRATE
1999-09-01,4.2,UNRATE
1999-10-01,4.1,UNRATE
1999-11-01,4.1,UNRATE
1999-12-01,4.0,UNRATE
2000-01-01,4.0,UNRATE
2000-02-01,4.1,UNRATE
2000-03-01,4.0,UNRATE
2000-04-01,3.8,UNRATE
2000-05-01,4.0,UNRATE
2000-06-01,4.0,UNRATE
2000-07-01,4.0,UNRATE
2000-08-01,4.1,UNRATE
2000-09-01,3.9,UNRATE
2000-10-01,3.9,UNRATE
2000-11-01,3.9,UNRATE
2000-12-01,3.9,UNRATE
2001-01-01,4.2,UNRATE
2001-02-01,4.2,UNRATE
2001-03-01,4.3,UNRATE
2001-04-01,4.4,UNRATE
2001-05-01,4.3,UNRATE
2001-06-01,4.5,UNRATE
2001-07-01,4.6,UNRATE
2001-08-01,4.9,UNRATE
2001-09-01,5.0,UNRATE
2001-10-01,5.3,UNRATE
2001-11-01,5.5,UNRATE
2001-12-01,5.7,UNRATE
2002-01-01,5.7,UNRATE
2002-02-01,5.7,UNRATE
2002-03-01,5.7,UNRATE
2002-04-01,5.9,UNRATE
2002-05-01,5.8,UNRATE
2002-06-01,5.8,UNRATE
2002-07-01,5.8,UNRATE
2002-08-01,5.7,UNRATE
2002-09-01,5.7,UNRATE
2002-10-01,5.7,UNRATE
2002-11-01,5.9,UNRATE
2002-12-01,6.0,UNRATE
2003-01-01,5.8,UNRATE
2003-02-01,5.9,UNRATE
2003-03-01,5.9,UNRATE
2003-04-01,6.0,UNRATE
2003-05-01,6.1,UNRATE
2003-06-01,6.3,UNRATE
2003-07-01,6.2,UNRATE
2003-08-01,6.1,UNRATE
2003-09-01,6.1,UNRATE
2003-10-01,6.0,UNRATE
2003-11-01,5.8,UNRATE
2003-12-01,5.7,UNRATE
2004-01-01,5.7,UNRATE
2004-02-01,5.6,UNRATE
2004-03-01,5.8,UNRATE
2004-04-01,5.6,UNRATE
2004-05-01,5.6,UNRATE
2004-06-01,5.6,UNRATE
2004-07-01,5.5,UNRATE
2004-08-01,5.4,UNRATE
2004-09-01,5.4,UNRATE
2004-10-01,5.5,UNRATE
2004-11-01,5.4,UNRATE
2004-12-01,5.4,UNRATE
2005-01-01,5.3,UNRATE
2005-02-01,5.4,UNRATE
2005-03-01,5.2,UNRATE
2005-04-01,5.2,UNRATE
2005-05-01,5.1,UNRATE
2005-06-01,5.0,UNRATE
2005-07-01,5.0,UNRATE
2005-08-01,4.9,UNRATE
2005-09-01,5.0,UNRATE
2005-10-01,5.0,UNRATE
2005-11-01,5.0,UNRATE
2005-12-01,4.9,UNRATE
2006-01-01,4.7,UNRATE
2006-02-01,4.8,UNRATE
2006-03-01,4.7,UNRATE
2006-04-01,4.7,UNRATE
2006-05-01,4.6,UNRATE
2006-06-01,4.6,UNRATE
2006-07-01,4.7,UNRATE
2006-08-01,4.7,UNRATE
2006-09-01,4.5,UNRATE
2006-10-01,4.4,UNRATE
2006-11-01,4.5,UNRATE
2006-12-01,4.4,UNRATE
2007-01-01,4.6,UNRATE
2007-02-01,4.5,UNRATE
2007-03-01,4.4,UNRATE
2007-04-01,4.5,UNRATE
2007-05-01,4.4,UNRATE
2007-06-01,4.6,UNRATE
2007-07-01,4.7,UNRATE
2007-08-01,4.6,UNRATE
2007-09-01,4.7,UNRATE
2007-10-01,4.7,UNRATE
2007-11-01,4.7,UNRATE
2007-12-01,5.0,UNRATE
2008-01-01,5.0,UNRATE
2008-02-01,4.9,UNRATE
2008-03-01,5.1,UNRATE
2008-04-01,5.0,UNRATE
2008-05-01,5.4,UNRATE
2008-06-01,5.6,UNRATE
2008-07-01,5.8,UNRATE
2008-08-01,6.1,UNRATE
2008-09-01,6.1,UNRATE
2008-10-01,6.5,UNRATE
2008-11-01,6.8,UNRATE
2008-12-01,7.3,UNRATE
2009-01-01,7.8,UNRATE
2009-02-01,8.3,UNRATE
2009-03-01,8.7,UNRATE
2009-04-01,9.0,UNRATE
2009-05-01,9.4,UNRATE
2009-06-01,9.5,UNRATE
2009-07-01,9.5,UNRATE
2009-08-01,9.6,UNRATE
2009-09-01,9.8,UNRATE
2009-10-01,10.0,UNRATE
2009-11-01,9.9,UNRATE
2009-12-01,9.9,UNRATE
2010-01-01,9.8,UNRATE
2010-02-01,9.8,UNRATE
2010-03-01,9.9,UNRATE
2010-04-01,9.9,UNRATE
2010-05-01,9.6,UNRATE
2010-06-01,9.4,UNRATE
2010-07-01,9.4,UNRATE
2010-08-01,9.5,UNRATE
2010-09-01,9.5,UNRATE
2010-10-01,9.4,UNRATE
2010-11-01,9.8,UNRATE
2010-12-01,9.3,UNRATE
2011-01-01,9.1,UNRATE
2011-02-01,9.0,UNRATE
2011-03-01,9.0,UNRATE
2011-04-01,9.1,UNRATE
2011-05-01,9.0,UNRATE
2011-06-01,9.1,UNRATE
2011-07-01,9.0,UNRATE
2011-08-01,9.0,UNRATE
2011-09-01,9.0,UNRATE
2011-10-01,8.8,UNRATE
2011-11-01,8.6,UNRATE
2011-12-01,8.5,UNRATE
2012-01-01,8.3,UNRATE
2012-02-01,8.3,UNRATE
2012-03-01,8.2,UNRATE
2012-04-01,8.2,UNRATE
2012-05-01,8.2,UNRATE
2012-06-01,8.2,UNRATE
2012-07-01,8.2,UNRATE
2012-08-01,8.1,UNRATE
2012-09-01,7.8,UNRATE
2012-10-01,7.8,UNRATE
2012-11-01,7.7,UNRATE
2012-12-01,7.9,UNRATE
2013-01-01,8.0,UNRATE
2013-02-01,7.7,UNRATE
2013-03-01,7.5,UNRATE
2013-04-01,7.6,UNRATE
2013-05-01,7.5,UNRATE
2013-06-01,7.5,UNRATE
2013-07-01,7.3,UNRATE
2013-08-01,7.2,UNRATE
2013-09-01,7.2,UNRATE
2013-10-01,7.2,UNRATE
2013-11-01,6.9,UNRATE
2013-12-01,6.7,UNRATE
2014-01-01,6.6,UNRATE
2014-02-01,6.7,UNRATE
2014-03-01,6.7,UNRATE
2014-04-01,6.2,UNRATE
2014-05-01,6.3,UNRATE
2014-06-01,6.1,UNRATE
2014-07-01,6.2,UNRATE
2014-08-01,6.1,UNRATE
2014-09-01,5.9,UNRATE
2014-10-01,5.7,UNRATE
2014-11-01,5.8,UNRATE
2014-12-01,5.6,UNRATE
2015-01-01,5.7,UNRATE
2015-02-01,5.5,UNRATE
2015-03-01,5.4,UNRATE
2015-04-01,5.4,UNRATE
2015-05-01,5.6,UNRATE
2015-06-01,5.3,UNRATE
2015-07-01,5.2,UNRATE
2015-08-01,5.1,UNRATE
2015-09-01,5.0,UNRATE
2015-10-01,5.0,UNRATE
2015-11-01,5.1,UNRATE
2015-12-01,5.0,UNRATE
2016-01-01,4.8,UNRATE
2016-02-01,4.9,UNRATE
2016-03-01,5.0,UNRATE
2016-04-01,5.1,UNRATE
2016-05-01,4.8,UNRATE
2016-06-01,4.9,UNRATE
2016-07-01,4.8,UNRATE
2016-08-01,4.9,UNRATE
2016-09-01,5.0,UNRATE
2016-10-01,4.9,UNRATE
2016-11-01,4.7,UNRATE
2016-12-01,4.7,UNRATE
2017-01-01,4.7,UNRATE
2017-02-01,4.6,UNRATE
2017-03-01,4.4,UNRATE
2017-04-01,4.4,UNRATE
2017-05-01,4.4,UNRATE
2017-06-01,4.3,UNRATE
2017-07-01,4.3,UNRATE
2017-08-01,4.4,UNRATE
2017-09-01,4.3,UNRATE
2017-10-01,4.2,UNRATE
2017-11-01,4.2,UNRATE
2017-12-01,4.1,UNRATE
2018-01-01,4.0,UNRATE
2018-02-01,4.1,UNRATE
2018-03-01,4.0,UNRATE
2018-04-01,4.0,UNRATE
2018-05-01,3.8,UNRATE
2018-06-01,4.0,UNRATE
2018-07-01,3.8,UNRATE
2018-08-01,3.8,UNRATE
2018-09-01,3.7,UNRATE
2018-10-01,3.8,UNRATE
2018-11-01,3.8,UNRATE
2018-12-01,3.9,UNRATE
2019-01-01,4.0,UNRATE
2019-02-01,3.8,UNRATE
2019-03-01,3.8,UNRATE
2019-04-01,3.7,UNRATE
2019-05-01,3.6,UNRATE
2019-06-01,3.6,UNRATE
2019-07-01,3.7,UNRATE
2019-08-01,3.6,UNRATE
2019-09-01,3.5,UNRATE
2019-10-01,3.6,UNRATE
2019-11-01,3.6,UNRATE
2019-12-01,3.6,UNRATE
2020-01-01,3.6,UNRATE
2020-02-01,3.5,UNRATE
2020-03-01,4.4,UNRATE
2020-04-01,14.8,UNRATE
2020-05-01,13.2,UNRATE
2020-06-01,11.0,UNRATE
2020-07-01,10.2,UNRATE
2020-08-01,8.4,UNRATE
2020-09-01,7.8,UNRATE
2020-10-01,6.9,UNRATE
2020-11-01,6.7,UNRATE
2020-12-01,6.7,UNRATE
2021-01-01,6.4,UNRATE
2021-02-01,6.2,UNRATE
2021-03-01,6.1,UNRATE
2021-04-01,6.1,UNRATE
2021-05-01,5.8,UNRATE
2021-06-01,5.9,UNRATE
2021-07-01,5.4,UNRATE
2021-08-01,5.1,UNRATE
2021-09-01,4.7,UNRATE
2021-10-01,4.5,UNRATE
2021-11-01,4.1,UNRATE
2021-12-01,3.9,UNRATE
2022-01-01,4.0,UNRATE
2022-02-01,3.9,UNRATE
2022-03-01,3.7,UNRATE
2022-04-01,3.7,UNRATE
2022-05-01,3.6,UNRATE
2022-06-01,3.6,UNRATE
2022-07-01,3.5,UNRATE
2022-08-01,3.6,UNRATE
2022-09-01,3.5,UNRATE
2022-10-01,3.6,UNRATE
2022-11-01,3.6,UNRATE
2022-12-01,3.5,UNRATE
2023-01-01,3.5,UNRATE
2023-02-01,3.6,UNRATE
2023-03-01,3.5,UNRATE
2023-04-01,3.4,UNRATE
2023-05-01,3.6,UNRATE
2023-06-01,3.6,UNRATE
2023-07-01,3.5,UNRATE
2023-08-01,3.7,UNRATE
2023-09-01,3.7,UNRATE
2023-10-01,3.9,UNRATE
2023-11-01,3.7,UNRATE
2023-12-01,3.8,UNRATE
2024-01-01,3.7,UNRATE
2024-02-01,3.9,UNRATE
2024-03-01,3.9,UNRATE
2024-04-01,3.9,UNRATE
2024-05-01,3.9,UNRATE
2024-06-01,4.1,UNRATE
2024-07-01,4.2,UNRATE
2024-08-01,4.2,UNRATE
2024-09-01,4.1,UNRATE
2024-10-01,4.1,UNRATE
2024-11-01,4.2,UNRATE
2024-12-01,4.1,UNRATE
2025-01-01,4.0,UNRATE
2025-02-01,4.2,UNRATE
2025-03-01,4.2,UNRATE
2025-04-01,4.2,UNRATE
2025-05-01,4.3,UNRATE
2025-06-01,4.1,UNRATE
2025-07-01,4.3,UNRATE
2025-08-01,4.3,UNRATE
2025-09-01,4.4,UNRATE
2025-10-01,,UNRATE
2025-11-01,4.5,UNRATE
2025-12-01,4.4,UNRATE
2026-01-01,4.3,UNRATE
2026-02-01,4.4,UNRATE
1954-07-01,0.8,FEDFUNDS
1954-08-01,1.22,FEDFUNDS
1954-09-01,1.07,FEDFUNDS
1954-10-01,0.85,FEDFUNDS
1954-11-01,0.83,FEDFUNDS
1954-12-01,1.28,FEDFUNDS
1955-01-01,1.39,FEDFUNDS
1955-02-01,1.29,FEDFUNDS
1955-03-01,1.35,FEDFUNDS
1955-04-01,1.43,FEDFUNDS
1955-05-01,1.43,FEDFUNDS
1955-06-01,1.64,FEDFUNDS
1955-07-01,1.68,FEDFUNDS
1955-08-01,1.96,FEDFUNDS
1955-09-01,2.18,FEDFUNDS
1955-10-01,2.24,FEDFUNDS
1955-11-01,2.35,FEDFUNDS
1955-12-01,2.48,FEDFUNDS
1956-01-01,2.45,FEDFUNDS
1956-02-01,2.5,FEDFUNDS
1956-03-01,2.5,FEDFUNDS
1956-04-01,2.62,FEDFUNDS
1956-05-01,2.75,FEDFUNDS
1956-06-01,2.71,FEDFUNDS
1956-07-01,2.75,FEDFUNDS
1956-08-01,2.73,FEDFUNDS
1956-09-01,2.95,FEDFUNDS
1956-10-01,2.96,FEDFUNDS
1956-11-01,2.88,FEDFUNDS
1956-12-01,2.94,FEDFUNDS
1957-01-01,2.84,FEDFUNDS
1957-02-01,3.0,FEDFUNDS
1957-03-01,2.96,FEDFUNDS
1957-04-01,3.0,FEDFUNDS
1957-05-01,3.0,FEDFUNDS
1957-06-01,3.0,FEDFUNDS
1957-07-01,2.99,FEDFUNDS
1957-08-01,3.24,FEDFUNDS
1957-09-01,3.47,FEDFUNDS
1957-10-01,3.5,FEDFUNDS
1957-11-01,3.28,FEDFUNDS
1957-12-01,2.98,FEDFUNDS
1958-01-01,2.72,FEDFUNDS
1958-02-01,1.67,FEDFUNDS
1958-03-01,1.2,FEDFUNDS
1958-04-01,1.26,FEDFUNDS
1958-05-01,0.63,FEDFUNDS
1958-06-01,0.93,FEDFUNDS
1958-07-01,0.68,FEDFUNDS
1958-08-01,1.53,FEDFUNDS
1958-09-01,1.76,FEDFUNDS
1958-10-01,1.8,FEDFUNDS
1958-11-01,2.27,FEDFUNDS
1958-12-01,2.42,FEDFUNDS
1959-01-01,2.48,FEDFUNDS
1959-02-01,2.43,FEDFUNDS
1959-03-01,2.8,FEDFUNDS
1959-04-01,2.96,FEDFUNDS
1959-05-01,2.9,FEDFUNDS
1959-06-01,3.39,FEDFUNDS
1959-07-01,3.47,FEDFUNDS
1959-08-01,3.5,FEDFUNDS
1959-09-01,3.76,FEDFUNDS
1959-10-01,3.98,FEDFUNDS
1959-11-01,4.0,FEDFUNDS
1959-12-01,3.99,FEDFUNDS
1960-01-01,3.99,FEDFUNDS
1960-02-01,3.97,FEDFUNDS
1960-03-01,3.84,FEDFUNDS
1960-04-01,3.92,FEDFUNDS
1960-05-01,3.85,FEDFUNDS
1960-06-01,3.32,FEDFUNDS
1960-07-01,3.23,FEDFUNDS
1960-08-01,2.98,FEDFUNDS
1960-09-01,2.6,FEDFUNDS
1960-10-01,2.47,FEDFUNDS
1960-11-01,2.44,FEDFUNDS
1960-12-01,1.98,FEDFUNDS
1961-01-01,1.45,FEDFUNDS
1961-02-01,2.54,FEDFUNDS
1961-03-01,2.02,FEDFUNDS
1961-04-01,1.49,FEDFUNDS
1961-05-01,1.98,FEDFUNDS
1961-06-01,1.73,FEDFUNDS
1961-07-01,1.17,FEDFUNDS
1961-08-01,2.0,FEDFUNDS
1961-09-01,1.88,FEDFUNDS
1961-10-01,2.26,FEDFUNDS
1961-11-01,2.61,FEDFUNDS
1961-12-01,2.33,FEDFUNDS
1962-01-01,2.15,FEDFUNDS
1962-02-01,2.37,FEDFUNDS
1962-03-01,2.85,FEDFUNDS
1962-04-01,2.78,FEDFUNDS
1962-05-01,2.36,FEDFUNDS
1962-06-01,2.68,FEDFUNDS
1962-07-01,2.71,FEDFUNDS
1962-08-01,2.93,FEDFUNDS
1962-09-01,2.9,FEDFUNDS
